Zip,CurrentTemp,CurrentCondition,MorningTemp,AfternoonTemp,EveningTemp,OvernightTemp
38194,74,Sunny,73,82,71,66
38197,74,Sunny,73,82,71,66
38201,70,Mostly Cloudy,68,79,65,61
38220,72,Partly Cloudy,69,79,65,61
38221,71,Mostly Cloudy,69,78,65,61
38222,71,Mostly Cloudy,68,78,65,61
38223,70,Partly Cloudy,68,79,65,61
38224,70,Partly Cloudy,68,78,64,61
38225,69,Partly Cloudy,67,79,65,61
38226,68,Partly Cloudy,66,79,65,62
38229,70,Partly Cloudy,68,79,65,61
38230,70,Partly Cloudy,68,79,65,61
38231,70,Mostly Cloudy,68,78,64,61
38232,72,Fair,69,78,66,63
38233,70,Partly Cloudy,68,80,66,62
38235,71,Mostly Cloudy,69,79,65,61
38236,71,Mostly Cloudy,69,78,65,61
38237,69,Partly Cloudy,68,79,65,62
38238,69,Partly Cloudy,68,79,65,62
38240,71,Sunny,68,80,66,63
38241,68,Partly Cloudy,68,79,65,61
38242,69,Mostly Cloudy,68,79,64,60
38251,70,Cloudy,68,78,65,61
38253,71,Partly Cloudy,68,80,66,62
38254,71,Fair,69,79,67,64
38255,70,Partly Cloudy,68,80,65,62
38256,71,Mostly Cloudy,69,78,65,61
38257,70,Partly Cloudy,67,79,65,62
38258,71,Partly Cloudy,69,79,65,61
38259,71,Fair,70,80,66,63
38260,71,Fair,68,80,66,62
38261,70,Partly Cloudy,67,79,65,62
38271,72,Partly Cloudy,69,79,65,62
38281,70,Partly Cloudy,68,79,65,62
38301,72,Fair,71,80,66,62
38302,73,Fair,71,79,66,62
38303,73,Fair,71,79,66,62
38305,73,Fair,70,79,66,63
38308,73,Fair,71,79,66,62
38310,69,Mostly Cloudy,68,78,65,61
38311,69,Cloudy,68,78,65,61
38313,72,Partly Cloudy,70,79,66,61
38314,72,Fair,71,79,66,62
38315,70,Partly Cloudy,68,79,66,62
38316,71,Partly Cloudy,69,80,66,62
38317,71,Mostly Cloudy,69,79,65,61
38318,72,Mostly Cloudy,69,79,65,61
38320,71,Mostly Cloudy,68,78,65,61
38321,72,Partly Cloudy,69,79,66,61
38324,71,Mostly Cloudy,69,78,65,61
38326,70,Cloudy,69,79,66,63
38327,70,Cloudy,68,78,65,62
38328,70,Cloudy,69,78,65,60
38329,70,Cloudy,68,78,65,61
38330,70,Partly Cloudy,69,80,66,62
38331,73,Sunny,70,80,67,63
38332,71,Mostly Cloudy,69,79,65,61
38333,69,Cloudy,68,77,65,62
38334,72,Partly Cloudy,69,79,65,61
38336,73,Sunny,70,80,66,63
38337,72,Fair,70,79,66,62
38338,72,Partly Cloudy,69,79,66,62
38339,69,Mostly Cloudy,67,79,66,62
38340,71,Partly Cloudy,69,79,66,62
38341,70,Mostly Cloudy,68,78,65,61
38342,71,Mostly Cloudy,69,78,65,61
38343,72,Fair,70,80,66,62
38344,72,Mostly Cloudy,70,79,65,61
38345,71,Partly Cloudy,70,79,66,62
38346,71,Partly Cloudy,69,80,66,62
38347,72,Partly Cloudy,69,78,65,61
38348,71,Partly Cloudy,69,79,65,61
38351,71,Mostly Cloudy,69,78,65,61
38352,72,Partly Cloudy,70,78,66,61
38355,72,Partly Cloudy,70,79,65,62
38356,73,Fair,70,79,66,62
38357,69,Mostly Cloudy,67,79,65,61
38358,71,Partly Cloudy,69,79,66,62
38359,70,Mostly Cloudy,69,78,65,61
38361,70,Mostly Cloudy,69,79,65,61
38362,72,Partly Cloudy,70,80,66,62
38363,70,Cloudy,68,78,65,61
38365,71,Cloudy,69,79,66,63
38366,73,Partly Cloudy,70,79,66,62
38367,70,Mostly Cloudy,67,79,66,62
38368,71,Mostly Cloudy,69,78,65,61
38369,71,Partly Cloudy,69,80,66,62
38370,70,Cloudy,69,78,65,61
38371,70,Cloudy,69,78,65,61
38372,70,Cloudy,69,78,65,62
38374,70,Cloudy,69,78,65,61
38375,70,Mostly Cloudy,68,79,65,61
38376,69,Mostly Cloudy,68,78,66,62
38377,74,Partly Cloudy,69,79,66,62
38378,73,Partly Cloudy,70,79,65,61
38379,69,Mostly Cloudy,68,78,66,62
